# LBCH-2026-001 verification witness — THREE-WAY per-vector sigCheck record, post-fix.
#
# Re-measurement of the CHECKMULTISIG Schnorr billing fix (commit 06cc3a3) against BOTH reference
# engines. Supersedes nothing; it ADDS the BCHN (consensus) leg that the fix-time artifact
# LBCH-2026-001-fix-deltas.tsv lacked, which is what left the soundness direction unclosed.
#
# ENGINE / CORPUS VERSIONS
#   leanbch = ./.lake/build/bin/costprobe @ LeanBCH commit 06cc3a3, LEANBCH_SECP=native
#             (oracle banner: "native(libsecp256k1/BCHN-vendored)")
#   bchn    = legs/bchn/bchn-leg of bch-conformance, linking BCHN's own script engine built from
#             bchn-src @ 864c53ee34924cca6c6b6d96607ff2cedcdccf02 (v29.0.1), run with --mode consensus
#   libauth = @bitauth/libauth 3.1.0-next.8 at LeanBCH/optimizer/node_modules,
#             createVirtualMachineBch2026(); verify() for the verdict, evaluate().metrics for counts
#   corpus  = vmb_tests, the 11 signature families, 5,803 vectors, 4,467 metric-comparable.
#             Read from bchd-src/txscript/data/vmb_tests @ 1c26e26; all 18 family files are
#             byte-identical (cmp) to bchn-src/src/test/data/vmb_tests @ 864c53e.
#   Measured 2026-07-21.
#
# DRIVER VALIDATION (done BEFORE any use): the libauth driver reproduces the committed witness
#   conformance/evidence/LBCH-2026-001-rootcause.tsv on 0u4tu8 exactly (sigChecks 1, hashIters 22,
#   opCost 30962). The costprobe run reproduces all 1,486 rows of LBCH-2026-001-fix-deltas.tsv on
#   three independent columns (sigChecksAfter, libauthSigChecks, opCostAfter) with 0 mismatches.
#
# sigBefore is the pre-fix LeanBCH count, reconstructed from the committed fix-deltas artifact
# (which lists every vector that MOVED); vectors absent from it did not move, so before == after.
#
# HEADLINE — sigChecks, over the 4467 metric-comparable vectors:
#   vs libauth : before agree/over/under = (2229, 1912, 326)
#                after  agree/over/under = (2799, 1342, 326)
#   vs BCHN    : before agree/over/under = (1549, 2594, 324)
#                after  agree/over/under = (1759, 2384, 324)
#
# SOUNDNESS DIRECTION (LeanBCH billing LESS than consensus):
#   324 vectors bill under BCHN. ALL of them are vectors LeanBCH REJECTS
#   (leanVerdict=0) and BCHN accepts; 0 of them are new (the fix introduced none).
#   On the 1817 vectors LeanBCH ACCEPTS: under=0, agree=1547, over=270
#   — an under-bill on an accepted input is the only way a cost defect can cause a wrong ACCEPT,
#   and there are none, before or after the fix.
#   Cause of the 324: all are core.signing-serialization Schnorr-multisig vectors whose
#   locking script carries FOUR signature ops; LeanBCH errors at the first CHECKMULTISIG with a
#   non-empty dummy (the deferred branch, LeanBCH/VM/Extended.lean:228) and never executes -- hence
#   never bills -- the remaining three. Deferral of EXECUTION, not a billing error.
#
# MULTISIG PARTITION (the families named *.multisig.*): comparable=1367, verdict-agreeing-with-libauth=1155
#   vs libauth, verdict-agreeing: before (333, 820, 2) -> after (477, 676, 2)  (agree/over/under)
#   The historical "2,617 verdict-agreeing multisig vectors / 1,255 / 1,360 / 2" is NOT reproducible:
#   the multisig families supply only 1908 vectors in total (1367 comparable), and a search over 11
#   candidate partitions x {libauth,bchn} x {before,after} found NO combination yielding that triple.
#   Its "under = 2" column DOES reproduce exactly: 0u4tu8 and g8xdap, both m-of-15, both LeanBCH 0 /
#   libauth 1 / BCHN 0 -- i.e. LeanBCH matches CONSENSUS and libauth is the outlier (LBCH-2026-003).
#
# columns: sigBefore/sigAfter = LeanBCH pre/post fix; sigLibauth, sigBchn = reference engines.
# leanVerdict: 1=accept 0=reject. bchnOutcome: BCHN's accept/reject. expected: corpus polarity.
vectorId	family	variant	expected	leanVerdict	bchnOutcome	sigBefore	sigAfter	sigLibauth	sigBchn	opCostAfter
5s33g0	core.data-signatures	standard	1	1	accept	1	1	1	1	27379
5t2ygj	core.data-signatures	standard	1	1	accept	1	1	1	1	27531
5tcq6v	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28032
5tdjr8	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29092
5tqlnx	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54547
5uktmr	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54534
5ulj6n	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54541
5uracz	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59104
5uxcjn	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	56868
5v29md	core.signing-serialization	standard	1	1	accept	6	6	6	6	162439
5v2hcs	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54510
5v4jdg	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162724
5vr6tf	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29068
5vvjly	core.signing-serialization	standard	1	1	accept	4	4	4	4	108439
5vvnnm	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
5vwzjt	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
5vx5lm	core.data-signatures	standard	1	1	accept	1	1	1	1	27599
5vxa03	core.signing-serialization	standard	1	1	accept	4	4	4	4	108380
5w62w7	core.signing-serialization	standard	1	1	accept	6	6	6	6	161828
5wx4rg	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27881
5x63d0	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
5x7nh7	core.data-signatures	standard	1	1	accept	1	1	1	1	28355
5xchcr	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108412
5xd04t	core.signing-serialization	standard	1	0	accept	3	1	4	4	29494
5xm8vf	core.signing-serialization	invalid	0	0	reject	1	1	0	0	27877
5xwth8	core.signing-serialization	standard	1	0	accept	1	1	4	4	28495
5y0f0f	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28471
5y23qu	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54541
5y2rke	core.data-signatures	standard	1	1	accept	1	1	1	1	28441
5ye9us	core.signing-serialization	invalid	0	0	reject	7	7	7	0	189156
5ygxxm	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	30862
5z236d	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28506
5z28tt	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29393
5z3jw2	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79783
5z7get	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	2	0	0	53921
5z9xwz	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29073
5zcwca	core.data-signatures	standard	1	1	accept	1	1	1	1	27519
5zj8gv	core.signing-serialization	standard	1	1	accept	4	4	4	4	108439
5zvzqf	core.signing-serialization	standard	1	0	accept	2	1	4	4	29092
6027zx	core.signing-serialization	standard	1	1	accept	8	8	8	8	215316
60cf9g	core.signing-serialization	standard	1	0	accept	3	1	4	4	29489
60evsx	core.signing-serialization	standard	1	1	accept	4	4	4	4	107795
60p3t2	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108671
62gp95	core.signing-serialization	standard	1	1	accept	4	4	4	4	109100
62v9zq	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	15	0	0	394884
633ent	core.data-signatures	standard	1	1	accept	1	1	1	1	27510
63c9e3	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29369
63q2hx	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59094
645uq5	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	0	0	27922
646nrm	core.signature-checking.multisig.m-of-3	standard	1	1	accept	3	3	3	3	80030
64gfrr	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
64kxh6	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28604
64s3wh	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
64xwaz	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27845
653ua5	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29068
658sk0	core.signing-serialization	standard	1	0	accept	2	1	4	4	29068
65f6vk	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27952
66qaxs	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80522
66t0r4	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28591
6769kd	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28567
677v8y	core.signing-serialization	standard	1	1	accept	4	4	4	4	108380
67a7m6	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54540
67fy0n	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27901
67k99q	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	534563
67mxf7	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28609
67rktp	core.data-signatures	standard	1	1	accept	1	1	1	1	27383
6805uf	core.signing-serialization	standard	1	1	accept	8	8	8	8	215097
683py2	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54534
68qcmr	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54516
693fjh	core.signing-serialization	standard	1	1	accept	4	4	4	4	109577
69nn25	core.signing-serialization	standard	1	1	accept	4	4	4	4	108404
69nz8q	core.signing-serialization	standard	1	1	accept	8	8	8	8	215116
69rvph	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109801
6a7a2a	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	533494
6a8w6a	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28031
6aspy2	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27946
6axjkd	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54510
6cestv	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80546
6cguj5	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54524
6cpm0d	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28591
6d0uun	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189156
6ddgn5	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28972
6dqk6r	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54548
6dtrcp	core.signing-serialization	standard	1	1	accept	8	8	8	8	215092
6dv3zw	core.signing-serialization	standard	1	1	accept	4	4	4	4	109801
6e8pst	core.signature-checking.multisig.m-of-15	standard	1	1	accept	15	15	15	15	394866
6enm99	core.data-signatures	standard	1	1	accept	1	1	1	1	27436
6et4k2	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136498
6euq45	core.data-signatures	standard	1	1	accept	1	1	1	1	27390
6ffz64	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	0	0	30868
6fg0w2	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28572
6fkdv5	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215382
6g57cn	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27883
6hdw4t	core.data-signatures	standard	1	1	accept	1	1	1	1	26790
6hh3ws	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
6hj8wx	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215321
6hlyrd	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28495
6hpuxf	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54523
6hydw7	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188956
6j30cu	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27881
6jhgql	core.data-signatures	standard	1	1	accept	1	1	1	1	26894
6jz6fu	core.data-signatures	standard	1	1	accept	1	1	1	1	26953
6k78j8	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29502
6k7w5j	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54524
6kf6np	core.signing-serialization	standard	1	0	accept	2	1	4	4	28972
6kvven	core.data-signatures	standard	1	1	accept	1	1	1	1	27512
6kzxey	core.signing-serialization	standard	1	1	accept	8	8	8	8	215092
6m4syn	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	80540
6mrppr	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
6mrqfz	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	0	0	27952
6n38hr	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
6n4tdw	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
6n8rgg	core.signing-serialization	standard	1	0	accept	2	1	4	4	29097
6nr7d6	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28567
6p0wyn	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59118
6p54gs	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	56049
6pdnpu	core.signing-serialization	standard	1	1	accept	4	4	4	4	109601
6pdr3c	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28495
6pfvxz	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29489
6ph8e3	core.data-signatures	standard	1	1	accept	1	1	1	1	27532
6ppuv5	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215316
6pqa2x	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162663
6ps7n8	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136517
6px7yc	core.signing-serialization	standard	1	1	accept	4	4	4	4	108436
6q6zdy	core.data-signatures	standard	1	1	accept	1	1	1	1	28497
6qct7q	core.data-signatures	standard	1	1	accept	1	1	1	1	27497
6qjss6	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28567
6qmjm7	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59118
6qnne9	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108412
6qpvyv	core.signing-serialization	standard	1	1	accept	4	4	4	4	108436
6qsq3r	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80523
6qwdsd	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	2	0	59104
6qxvjd	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	2	0	54540
6rc9dk	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162687
6rh3tu	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27929
6rkd5z	core.signing-serialization	standard	1	1	accept	4	4	4	4	109806
6rzlaj	core.data-signatures	standard	1	1	accept	1	1	1	1	26889
6skj89	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
6t385q	core.data-signatures	standard	1	1	accept	1	1	1	1	27551
6thlj9	core.signing-serialization	invalid	0	1	reject	6	6	0	0	162687
6tk7ju	core.signing-serialization	standard	1	0	accept	1	1	4	4	28572
6tn6n5	core.signing-serialization	invalid	0	1	reject	6	6	0	0	161828
6tnnpt	core.signing-serialization	standard	1	1	accept	4	4	4	4	109825
6u0mlh	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
6u3gys	core.signing-serialization	invalid	0	0	reject	1	1	0	0	27978
6u8mp2	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80545
6uhup6	core.signing-serialization	standard	1	1	accept	4	4	4	4	107822
6ujp4e	core.signing-serialization	invalid	0	0	reject	7	7	7	0	189156
6vl2w3	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29097
6vlswt	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54534
6vnlyz	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	56879
6vuney	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27800
6vyjql	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29092
6w4vkc	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27906
6wjvj0	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80546
6wmuwc	core.signing-serialization	standard	1	1	accept	8	8	8	8	214354
6x5tsq	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28567
6x8y7w	core.data-signatures	standard	1	1	accept	1	1	1	1	27504
6xe86a	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80522
6xkgrg	core.signing-serialization	invalid	0	0	reject	1	1	0	0	27889
6xlz44	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28031
6xm40u	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
6y5gv3	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54534
6yyc56	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54548
6yzsa5	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27845
6zk84l	core.signing-serialization	standard	1	1	accept	4	4	4	4	108876
6ztk2h	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	9	1	0	248590
6zz804	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29489
70n3yd	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109862
70pque	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80546
70rsw6	core.signing-serialization	standard	1	0	accept	1	1	4	4	28596
720s87	core.signing-serialization	standard	1	0	accept	3	1	4	4	29393
72jjsx	core.signing-serialization	invalid	0	0	reject	5	5	5	0	136269
72mwwj	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
72u6g2	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27881
73204z	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29068
73h74c	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29465
73qhq5	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
747phm	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
74yvcd	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	527091
74zadf	core.signature-checking.multisig.m-of-3	standard	1	0	accept	3	1	1	1	28049
75jwsj	core.signing-serialization	standard	1	1	accept	4	4	4	4	107797
75qfre	core.data-signatures	standard	1	1	accept	1	1	1	1	27081
764m4g	core.signing-serialization	standard	1	1	accept	4	4	4	4	108436
764wk8	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28580
764wzt	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54548
766kkh	core.signing-serialization	standard	1	1	accept	4	4	4	4	108436
76g9nz	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54523
76vhyn	core.data-signatures	standard	1	1	accept	1	1	1	1	27490
76xzl2	core.data-signatures	standard	1	1	accept	1	1	1	1	27792
77ermd	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
77p9v4	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28508
77qee0	core.signing-serialization	standard	1	1	accept	4	4	4	4	108447
77qqky	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29465
77yw93	core.data-signatures	standard	1	1	accept	1	1	1	1	27402
787auj	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27931
78azmf	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28591
78e5rq	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54523
78hffc	core.data-signatures	standard	1	1	accept	1	1	1	1	26772
78jpjj	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28604
78r75r	core.signing-serialization	standard	1	1	accept	4	4	4	4	108380
78zaj0	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
797q6t	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
797y84	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188951
7a2ly5	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54541
7a6zct	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29369
7aeq27	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54541
7agpp2	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	54541
7akxn9	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109801
7allgv	core.signing-serialization	standard	1	1	accept	4	4	4	4	108380
7apqt7	core.signing-serialization	standard	1	1	accept	6	6	6	6	162458
7ar3jx	core.signing-serialization	standard	1	1	accept	4	4	4	4	108380
7c0acx	core.data-signatures	standard	1	1	accept	1	1	1	1	27310
7ck3x2	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	80540
7cr322	core.data-signatures	standard	1	1	accept	1	1	1	1	27425
7dsdpk	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109100
7dx3zv	core.signing-serialization	standard	1	0	accept	3	1	4	4	29369
7e6f86	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28580
7ed55p	core.signing-serialization	invalid	0	0	reject	3	1	0	0	29489
7ed7yx	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29068
7em46x	core.data-signatures	standard	1	1	accept	1	1	1	1	26794
7f6xd9	core.signing-serialization	standard	1	0	accept	2	1	4	4	29092
7f9e75	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	80515
7f9uz9	core.data-signatures	standard	1	1	accept	1	1	1	1	27514
7fm206	core.data-signatures	standard	1	1	accept	1	1	1	1	28538
7fua2f	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	80540
7g54n4	core.signing-serialization	invalid	0	0	reject	2	1	1	0	28996
7gmzxq	core.data-signatures	standard	1	1	accept	1	1	1	1	27410
7gnse0	core.signing-serialization	standard	1	0	accept	3	1	4	4	29465
7grl95	core.signing-serialization	standard	1	0	accept	1	1	4	4	28591
7gu4yw	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108056
7h2spd	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29068
7h997p	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	527115
7hmqme	core.signing-serialization	standard	1	1	accept	8	8	8	8	215097
7ht778	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
7hy96r	core.signing-serialization	invalid	0	1	reject	8	8	0	0	215321
7j062x	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	30868
7jeumv	core.signing-serialization	standard	1	0	accept	2	1	4	4	28996
7js44g	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29393
7jxgd7	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27922
7kct5a	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28495
7kkcae	core.data-signatures	standard	1	1	accept	1	1	1	1	28339
7kv6m9	core.signing-serialization	standard	1	1	accept	6	6	6	6	162434
7l45x9	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	54546
7l9gea	core.signing-serialization	standard	1	1	accept	4	4	4	4	108695
7lwvrr	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	2	0	0	53923
7lydtd	core.signing-serialization	invalid	0	1	reject	4	4	0	0	109820
7m4h7g	core.signing-serialization	standard	1	1	accept	8	8	8	8	215116
7m508z	core.signing-serialization	standard	1	1	accept	4	4	4	4	109796
7mdnnp	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28591
7my5fz	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108466
7n07zh	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27877
7n2s55	core.signing-serialization	standard	1	0	accept	1	1	4	4	28572
7n4dlt	core.signing-serialization	invalid	0	0	reject	3	1	1	0	29489
7n5cwh	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28567
7n6n32	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28591
7n7gsa	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27978
7ngg29	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
7nnhx7	core.signing-serialization	standard	1	1	accept	4	4	4	4	107760
7npdc7	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
7nrpf8	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80523
7nyuu3	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59118
7p34lv	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	27794
7p84q7	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27883
7prw6k	core.signing-serialization	invalid	0	0	reject	5	5	0	0	136493
7psftm	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27869
7pt03f	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108466
7pv3dk	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59080
7q8l09	core.signing-serialization	invalid	0	0	reject	7	7	7	0	188956
7qd5n5	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	59094
7qls04	core.signing-serialization	invalid	0	0	reject	1	1	1	0	28591
7qpwyk	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54534
7r26pa	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80545
7r5fe6	core.signing-serialization	invalid	0	0	reject	1	1	0	0	28604
7r5s8j	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27881
7rf6e9	core.signing-serialization	invalid	0	0	reject	7	7	0	0	189151
7rsrg6	core.signature-checking.multisig.pubkey-validation	standard	1	0	accept	2	1	1	1	27794
7rwhxm	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80545
7shnej	core.signing-serialization	standard	1	1	accept	4	4	4	4	108415
7smnd9	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108442
7sw0ag	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	79784
7sxwsg	core.signing-serialization	invalid	0	0	reject	1	1	0	0	27891
7t9jm4	core.signing-serialization	standard	1	1	accept	8	8	8	8	214135
7tarl8	core.signing-serialization	standard	1	1	accept	8	8	8	8	215326
7tk4pv	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
7tl93v	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80545
7tshzh	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	28055
7tsrev	core.signing-serialization	invalid	0	0	reject	1	1	1	0	27869
7u4sj7	core.signing-serialization	invalid	0	1	reject	4	4	0	0	108442
7udr9n	core.data-signatures	standard	1	1	accept	1	1	1	1	27391
7ufe9s	core.signing-serialization	invalid	0	0	reject	1	1	0	0	27901
7v52fs	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	20	0	0	527101
7vggva	core.signing-serialization	standard	1	1	accept	8	8	8	8	215340
7vmgft	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	0	0	27674
7vqnfu	core.signing-serialization	standard	1	1	accept	6	6	6	6	162439
7wjl5d	core.signing-serialization	standard	1	1	accept	6	6	6	6	161833
7wjqvy	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	533518
7wprl8	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	80546
7wuzlm	core.signing-serialization	standard	1	0	accept	1	1	4	4	28471
7x7m8m	core.data-signatures	standard	1	1	accept	1	1	1	1	27507
7x9lnn	core.signing-serialization	standard	1	1	accept	6	6	6	6	161609
7xalg3	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	80516
7xnhrl	core.signing-serialization	invalid	0	0	reject	2	1	0	0	29068
7xny36	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	30892
7xv30g	core.signing-serialization	invalid	0	0	reject	2	1	1	0	29068
7y3qtq	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	54510
