# LBCH-2026-001 fix witness — per-vector sigCheck deltas from the CHECKMULTISIG Schnorr billing fix.
# Every vector whose LeanBCH signatureCheckCount MOVED, over the 11 signature families of the
# official BCH vmb_test corpus (5,803 vectors; 4,467 reach a comparable metric total).
#
# Sources: corpus  = bchn-src/src/test/data/vmb_tests @ 864c53e (BCHN v29.0.1)
#          leanbch = ./.lake/build/bin/costprobe, LEANBCH_SECP=native, this commit vs parent a8b7682
#          libauth = @bitauth/libauth 3.1.0-next.8 at LeanBCH/optimizer/node_modules,
#                    createVirtualMachineBch2026().evaluate() — driver validated against the
#                    committed 0u4tu8 witness (libauth sigChecks 1, hashIters 22: reproduced exactly).
# Measured 2026-07-21.
#
# Direction: sigChecksAfter <= sigChecksBefore on EVERY vector (0 increases corpus-wide).
# Non-sig metrics (evaluatedInstructionCount / hashDigestIterations / arithmeticCost /
# stackPushedBytes) and all verdicts are UNCHANGED on all 4,467 vectors.
#
# NOTE on libauthSigChecks: this is libauth's WHOLE-INPUT total. Where it exceeds LeanBCH's by a
# wide margin the cause is the still-DEFERRED Schnorr-multisig execution branch
# (LeanBCH/VM/Extended.lean:228): LeanBCH errors at the first Schnorr CHECKMULTISIG and never
# executes the input's remaining signature ops, so their checks are never billed. All 216 vectors
# whose libauth-relative under-bill DEEPENED are vectors LeanBCH REJECTS for that reason.
vectorId	family	sigChecksBefore	sigChecksAfter	libauthSigChecks	opCostBefore	opCostAfter
8t9n6w	core.signature-checking.multisig.pubkey-validation	2	1	1	53948	27948
8ta4zv	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
8tukwy	core.signing-serialization	2	1	1	55092	29092
8u65y6	core.signature-checking.multisig.m-of-3	3	2	0	80516	54516
8v6xfq	core.signature-checking.multisig.m-of-20	20	2	1	524892	56892
8vuanf	core.signing-serialization	2	1	0	55092	29092
8w40wm	core.signing-serialization	3	1	0	81502	29502
8xeukr	core.signing-serialization	2	1	4	55097	29097
93xcqh	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
943ux9	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
94dfxy	core.signature-checking.multisig.m-of-3	3	2	0	80523	54523
94l6r8	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
966y9x	core.signature-checking.multisig.m-of-3	3	2	1	80548	54548
96vcg6	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
97ylrc	core.signature-checking.multisig.pubkey-validation	2	1	1	53680	27680
99cvud	core.signature-checking.multisig.m-of-3	3	2	2	80534	54534
9c23mf	core.signing-serialization	2	1	0	55092	29092
9d0fcc	core.signing-serialization	3	1	0	81489	29489
9d8rus	core.signature-checking.multisig.m-of-3	3	2	2	80534	54534
9deyf5	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
9e8xuw	core.signing-serialization	3	1	0	81465	29465
9eg69p	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
9f2a3k	core.signing-serialization	3	1	0	81502	29502
9f8vkh	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
9gpfva	core.signature-checking.multisig.m-of-20	20	2	2	524879	56879
9h3knk	core.signature-checking.multisig.m-of-20	20	8	8	533446	221446
9jys35	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
9kdha5	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
9kwgnv	core.signature-checking.multisig.m-of-3	3	1	1	80049	28049
9l8kjv	core.signing-serialization	3	1	0	81489	29489
9lpwu6	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
9melht	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
9mj4vr	core.signature-checking.multisig.m-of-3	3	1	1	80049	28049
9p6kw2	core.signing-serialization	3	1	4	81465	29465
9paryc	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
9qk0cy	core.signature-checking.multisig.m-of-20	20	8	0	533468	221468
9qsqm2	core.signing-serialization	3	1	1	81393	29393
9rzgfg	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
9s9nvl	core.signature-checking.multisig.m-of-3	3	2	2	80541	54541
9tt024	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
9ttheh	core.signature-checking.multisig.m-of-3	3	2	0	80548	54548
9umf4f	core.signature-checking.multisig.m-of-3	3	2	2	80517	54517
9v6qz6	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
9wq2ec	core.signature-checking.multisig.m-of-3	3	2	2	80510	54510
9y5hkc	core.signing-serialization	3	1	4	81393	29393
9yavqz	core.signature-checking.multisig.m-of-20	20	2	0	524050	56050
9yuq53	core.signing-serialization	3	1	0	81465	29465
9z9fxq	core.signing-serialization	2	1	1	54996	28996
9zq2e3	core.signing-serialization	3	1	4	81369	29369
9zz9ht	core.signing-serialization	2	1	4	54996	28996
a0m09d	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
a2pv7j	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
a2rq4g	core.signature-checking.multisig.m-of-3	3	2	1	80547	54547
a4l6qy	core.signing-serialization	2	1	4	55092	29092
a54psx	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
a58844	core.signature-checking.multisig.m-of-3	3	1	1	80049	28049
a5nv8m	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
a5wm5v	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
a68esl	core.signing-serialization	2	1	0	55092	29092
a6auy0	core.signature-checking.multisig.m-of-20	20	2	2	527104	59104
a6vucx	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
a6y86h	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
a7fqcu	core.signing-serialization	2	1	1	54972	28972
a7h0fn	core.signing-serialization	2	1	4	54996	28996
a7rsyh	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
a8a962	core.signing-serialization	2	1	4	54996	28996
aa4an6	core.signature-checking.multisig.m-of-20	20	2	2	524879	56879
aa7hu6	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
aafkdm	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
acs3y5	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
acw3xn	core.signature-checking.multisig.m-of-3	3	2	1	80522	54522
ae8qeu	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
af4n07	core.signing-serialization	3	1	1	81393	29393
ajs9vn	core.signing-serialization	2	1	4	54996	28996
al06c2	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
am2kdg	core.signature-checking.multisig.m-of-20	20	2	2	527080	59080
anr933	core.signing-serialization	3	1	4	81369	29369
anutyh	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
aph03m	core.signature-checking.multisig.pubkey-validation	2	1	1	53825	27825
apvruy	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
ar3uyn	core.signature-checking.multisig.m-of-20	20	2	2	524036	56036
ar97ql	core.signing-serialization	2	1	0	55068	29068
ares4w	core.signature-checking.multisig.m-of-20	20	2	2	527080	59080
arl60l	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
as0sg6	core.signing-serialization	3	1	1	81393	29393
asadzt	core.signing-serialization	2	1	1	55129	29129
asty0y	core.signing-serialization	2	1	0	55129	29129
asv3h3	core.signature-checking.multisig.m-of-3	3	1	1	80049	28049
atfuqy	core.signing-serialization	2	1	0	55068	29068
attdnp	core.signing-serialization	3	1	4	81502	29502
au0xur	core.signature-checking.multisig.pubkey-validation	2	1	0	53704	27704
av3793	core.signing-serialization	3	1	4	81369	29369
avdg3n	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
avg9vk	core.signing-serialization	2	1	1	55073	29073
axdzvt	core.signing-serialization	2	1	1	55068	29068
axew23	core.signing-serialization	2	1	1	55092	29092
azvlxp	core.signature-checking.multisig.pubkey-validation	2	1	0	53946	27946
azvque	core.signing-serialization	2	1	0	55092	29092
c3n2pd	core.signature-checking.multisig.m-of-3	3	1	1	80055	28055
c3uyf8	core.signing-serialization	3	1	0	81465	29465
c4uk0y	core.signing-serialization	2	1	1	54972	28972
c55cth	core.signature-checking.multisig.m-of-3	3	1	1	80056	28056
c5ag9h	core.signing-serialization	2	1	0	55092	29092
c6f4f5	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
c7ert2	core.signing-serialization	2	1	0	55068	29068
c9c4q5	core.signature-checking.multisig.m-of-3	3	2	1	80548	54548
ca3q6g	core.signature-checking.multisig.m-of-3	3	1	1	80032	28032
ca67jj	core.signing-serialization	2	1	0	55068	29068
cchhhc	core.signing-serialization	2	1	4	54996	28996
cd4498	core.signature-checking.multisig.m-of-20	20	2	0	524060	56060
cddqgt	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
cdj0av	core.signature-checking.multisig.m-of-20	20	2	1	524074	56074
ce4jut	core.signing-serialization	2	1	4	55092	29092
cf2e54	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
chefea	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
cjvd9a	core.signing-serialization	2	1	0	55092	29092
cjxacz	core.signing-serialization	2	1	0	55068	29068
ck98xq	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
cmmh4g	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
cn0w88	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
cn6ck7	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
cndk85	core.signing-serialization	2	1	1	54972	28972
cnjfmu	core.signature-checking.multisig.m-of-3	3	2	0	80516	54516
cpqzqm	core.signature-checking.multisig.pubkey-validation	2	1	0	53674	27674
cpsyax	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
cq98tm	core.signature-checking.multisig.pubkey-validation	2	1	1	53794	27794
cqengv	core.signing-serialization	3	1	1	81393	29393
cqz8tf	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
cqzna3	core.signature-checking.multisig.m-of-3	3	2	2	80517	54517
csk3ul	core.signing-serialization	2	1	0	55092	29092
ct548d	core.signature-checking.multisig.pubkey-validation	2	1	1	53928	27928
ctc74t	core.signing-serialization	2	1	1	54972	28972
cttfmf	core.signing-serialization	3	1	0	81489	29489
cu42lc	core.signing-serialization	3	1	1	81393	29393
cvl63y	core.signature-checking.multisig.m-of-3	3	2	1	80548	54548
cvwfhq	core.signature-checking.multisig.m-of-3	3	2	2	80510	54510
cwh2ld	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
cwzect	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
cwzkhh	core.signing-serialization	3	1	4	81393	29393
cy4ce5	core.signature-checking.multisig.m-of-3	3	1	1	80056	28056
cy9d3t	core.signature-checking.multisig.m-of-20	20	8	1	533521	221521
cz349c	core.signature-checking.multisig.m-of-3	3	2	0	80547	54547
d26lxy	core.signature-checking.multisig.m-of-3	3	2	0	80548	54548
d2mu6a	core.signing-serialization	2	1	0	55092	29092
d3kh83	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
d4qme9	core.signing-serialization	3	1	0	81489	29489
d54907	core.signing-serialization	2	1	4	54972	28972
d5mady	core.signing-serialization	2	1	0	55105	29105
d6akln	core.signing-serialization	3	1	0	81465	29465
d6fflh	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
d6rm8p	core.signing-serialization	3	1	0	81465	29465
d6y5lc	core.signing-serialization	3	1	0	81489	29489
d76u32	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
d7kew4	core.signing-serialization	3	1	4	81369	29369
d9d37h	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
d9qk8a	core.signing-serialization	3	1	1	81465	29465
da46p9	core.signing-serialization	2	1	1	54972	28972
delrvc	core.signing-serialization	3	1	4	81369	29369
dfcel7	core.signature-checking.multisig.m-of-15	15	1	0	394886	30886
dfkhfm	core.signing-serialization	2	1	1	54972	28972
dfy83u	core.signing-serialization	3	1	1	81369	29369
dfz0mc	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
dhm5wt	core.signature-checking.multisig.m-of-3	3	2	2	80534	54534
djdkj8	core.signing-serialization	3	1	0	81526	29526
djp89q	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
dkv25z	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
dmxt9z	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
dnalt0	core.signature-checking.multisig.m-of-15	15	1	0	394886	30886
dndngf	core.signing-serialization	2	1	4	55068	29068
dnm2eq	core.signature-checking.multisig.m-of-15	15	1	1	394892	30892
dpa45r	core.signing-serialization	2	1	1	55073	29073
dpsjtc	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
dqm9d2	core.signing-serialization	3	1	0	81502	29502
dquzgn	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
drsgar	core.signing-serialization	3	1	1	81393	29393
drw9fj	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
ds37ce	core.signing-serialization	3	1	0	81465	29465
dsg8p0	core.signing-serialization	3	1	1	81393	29393
dsh369	core.signature-checking.multisig.m-of-3	3	2	0	80547	54547
dslays	core.signing-serialization	3	1	1	81393	29393
dsvy9l	core.signing-serialization	3	1	4	81494	29494
dt8vrw	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
dtutuv	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
dtuyum	core.signing-serialization	2	1	4	54996	28996
du2d2t	core.signing-serialization	2	1	0	55068	29068
dv5sxw	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
dvd5s4	core.signing-serialization	3	1	1	81369	29369
dvwd5u	core.signature-checking.multisig.m-of-3	3	2	2	80540	54540
dvzdd9	core.signature-checking.multisig.m-of-15	15	1	1	394862	30862
dwe0uv	core.signing-serialization	2	1	4	54996	28996
dwnzre	core.signature-checking.multisig.m-of-3	3	2	1	80547	54547
dx3050	core.signing-serialization	3	1	0	81465	29465
dz4evm	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
e2edc2	core.signing-serialization	3	1	1	81494	29494
e2w9ye	core.signature-checking.multisig.pubkey-validation	2	1	1	53818	27818
e2zkxw	core.signing-serialization	2	1	4	54972	28972
e3jhdx	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
e4jkms	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
e627e3	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
e773sl	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
e78evm	core.signing-serialization	2	1	4	55129	29129
e8fr58	core.signing-serialization	2	1	4	54996	28996
ea7f0h	core.signing-serialization	3	1	0	81526	29526
ecnpkx	core.signing-serialization	2	1	0	55068	29068
edejr4	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
ednxaf	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
edtrqc	core.signature-checking.multisig.m-of-20	20	2	1	524868	56868
edv6zl	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
eeufs2	core.signing-serialization	3	1	0	81489	29489
ef0vxk	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
eh9kxm	core.signing-serialization	3	1	4	81494	29494
ehkdey	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
ejm005	core.signing-serialization	2	1	0	55092	29092
ek3xm8	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
eml805	core.signing-serialization	2	1	1	54972	28972
emzfz5	core.signature-checking.multisig.pubkey-validation	2	1	0	53931	27931
enrf6c	core.signing-serialization	2	1	1	54972	28972
enylly	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
ep9jyz	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
eq5d4t	core.signature-checking.multisig.m-of-15	15	1	1	394862	30862
eqz2dm	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
er3y47	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
erpfaz	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
es2426	core.signing-serialization	2	1	4	55068	29068
esamej	core.signing-serialization	2	1	1	54972	28972
et40qz	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
etl00a	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
etqv8t	core.signing-serialization	3	1	0	81526	29526
eunfcw	core.signing-serialization	2	1	0	55068	29068
ewr4aj	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
eyv0ay	core.signing-serialization	3	1	1	81470	29470
ezslua	core.signing-serialization	2	1	4	55068	29068
f0jnym	core.signature-checking.multisig.m-of-15	15	1	0	394892	30892
f3djpy	core.signing-serialization	2	1	1	55097	29097
f4qq6s	core.signature-checking.multisig.m-of-3	3	2	2	80510	54510
f594r5	core.signing-serialization	2	1	0	55092	29092
f5aj5t	core.signing-serialization	3	1	0	81489	29489
f5zax6	core.signing-serialization	2	1	0	55068	29068
f72j2r	core.signature-checking.multisig.m-of-3	3	2	1	80546	54546
f7sljy	core.signing-serialization	3	1	1	81369	29369
f7u7pp	core.signing-serialization	2	1	4	54972	28972
f7ymfm	core.signing-serialization	3	1	1	81393	29393
f86nfa	core.signing-serialization	2	1	4	54972	28972
f8l5d0	core.signing-serialization	3	1	4	81369	29369
f8mfnm	core.signature-checking.multisig.m-of-20	20	2	1	527080	59080
f8x5eh	core.signing-serialization	3	1	4	81526	29526
f9kzyw	core.signature-checking.multisig.m-of-3	3	2	0	80546	54546
f9qzlz	core.signing-serialization	2	1	0	55129	29129
faxs0m	core.signature-checking.multisig.m-of-3	3	2	0	80547	54547
fdum4k	core.signing-serialization	3	1	1	81489	29489
fe94ux	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
fef5z3	core.signing-serialization	2	1	1	54996	28996
ffg2j0	core.signature-checking.multisig.m-of-20	20	2	1	524050	56050
ffm268	core.signing-serialization	3	1	1	81393	29393
fg8asr	core.signing-serialization	3	1	1	81369	29369
fgu20g	core.signing-serialization	3	1	1	81526	29526
fgzwwz	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
fhlw3g	core.signing-serialization	2	1	1	54996	28996
fhlzgy	core.signature-checking.multisig.pubkey-validation	2	1	1	53794	27794
fj3wfm	core.signing-serialization	3	1	1	81470	29470
fjaxjw	core.signature-checking.multisig.m-of-3	3	2	2	80541	54541
fkf3g0	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
fl58h4	core.signing-serialization	2	1	0	55068	29068
fmeuph	core.signature-checking.multisig.m-of-3	3	2	0	80540	54540
fny3j6	core.signing-serialization	3	1	0	81465	29465
fq23dx	core.signing-serialization	2	1	0	55092	29092
fvdkqc	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
fvvss7	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
fwqfdm	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
fx3tmu	core.signing-serialization	2	1	4	54972	28972
fxxa5g	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
fyqv07	core.signing-serialization	2	1	1	54996	28996
fyrx7p	core.signing-serialization	3	1	4	81369	29369
fzdll5	core.signature-checking.multisig.m-of-3	3	2	0	80523	54523
fzxruv	core.signing-serialization	3	1	0	81489	29489
g07a29	core.signing-serialization	3	1	1	81465	29465
g0hsk2	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
g0ud0y	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
g0y329	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
g2kmj0	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
g3fqsl	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
g59h5x	core.signature-checking.multisig.m-of-3	3	2	1	80548	54548
g5q2gj	core.signing-serialization	2	1	1	55092	29092
g5z0dg	core.signature-checking.multisig.m-of-3	3	2	0	80548	54548
g7ruex	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
g8mdlp	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
g9t3w4	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
ga0lwy	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
gc4qz5	core.signing-serialization	3	1	1	81494	29494
gcr3p7	core.signing-serialization	2	1	1	55105	29105
gfcqzz	core.signature-checking.multisig.pubkey-validation	2	1	0	53924	27924
gfdfsh	core.signature-checking.multisig.m-of-15	15	1	1	394868	30868
gfsyd2	core.signing-serialization	3	1	0	81465	29465
ggclep	core.signature-checking.multisig.m-of-3	3	1	1	80055	28055
ggdmxt	core.signature-checking.multisig.m-of-3	3	2	2	80534	54534
ggmqf6	core.signature-checking.multisig.m-of-3	3	2	1	80548	54548
ghcmrw	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
ghkwld	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
ghsyux	core.signing-serialization	3	1	4	81489	29489
gj8p9r	core.signature-checking.multisig.m-of-20	20	2	2	527080	59080
gjcqy3	core.signature-checking.multisig.pubkey-validation	2	1	0	53948	27948
gjlt5q	core.signing-serialization	3	1	0	81465	29465
gjxh6p	core.signing-serialization	3	1	4	81393	29393
gkp4e5	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
gmpgxw	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
gnfes9	core.signing-serialization	3	1	1	81369	29369
gnx2w3	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
gp8fdk	core.signature-checking.multisig.m-of-15	15	2	2	395731	57731
gpkymd	core.signing-serialization	2	1	4	54972	28972
gpn7hj	core.signing-serialization	3	1	0	81489	29489
gqrw3d	core.signing-serialization	3	1	1	81465	29465
gqzqtp	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
gqzxg5	core.signing-serialization	3	1	0	81465	29465
grd9gx	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
grusek	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
gruym8	core.signature-checking.multisig.pubkey-validation	2	1	1	53948	27948
gsalqe	core.signing-serialization	3	1	1	81369	29369
gsv4gq	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
gv5pwr	core.signing-serialization	3	1	1	81470	29470
gvv034	core.signing-serialization	2	1	1	54972	28972
gze3eq	core.signing-serialization	2	1	1	55092	29092
h23kj4	core.signature-checking.multisig.m-of-20	20	2	1	527118	59118
h2kqvq	core.signature-checking.multisig.pubkey-validation	2	1	1	53946	27946
h3zt3j	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
h49vsf	core.signature-checking.multisig.m-of-15	15	1	1	394886	30886
h5nfq8	core.signature-checking.multisig.m-of-3	3	2	0	80541	54541
h5xqdw	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
h5ygjt	core.signature-checking.multisig.signing-serialization	3	2	2	80534	54534
h6r3fz	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
h78wkq	core.signing-serialization	3	1	4	81369	29369
h7y4uf	core.signing-serialization	3	1	4	81369	29369
h84cq9	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
h8js5c	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
h9rjrx	core.signature-checking.multisig.m-of-3	3	2	1	80523	54523
hajv7v	core.signing-serialization	3	1	1	81369	29369
hav8pf	core.signature-checking.multisig.m-of-3	3	2	1	80546	54546
hcky4q	core.signing-serialization	2	1	4	55073	29073
hdkykp	core.signature-checking.multisig.m-of-3	3	2	1	80524	54524
hdpdwp	core.signature-checking.multisig.pubkey-validation	2	1	0	53931	27931
he5nky	core.signature-checking.multisig.m-of-3	3	1	1	80031	28031
he9mdq	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
hes337	core.signature-checking.multisig.m-of-3	3	2	0	80534	54534
hjgnl6	core.signing-serialization	2	1	0	55068	29068
hjpp6x	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
hjyvd0	core.signature-checking.multisig.m-of-20	20	2	2	527104	59104
hkl95f	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
hkvthe	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
hle6n8	core.signing-serialization	2	1	1	54996	28996
hm9xpd	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
hndvfa	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
hnjq05	core.signing-serialization	3	1	1	81494	29494
hpkudf	core.signature-checking.multisig.pubkey-validation	2	1	1	53953	27953
hq4j0v	core.signature-checking.multisig.m-of-20	20	2	1	527094	59094
hql9ga	core.signature-checking.multisig.m-of-3	3	2	0	80516	54516
hqw86z	core.signature-checking.multisig.m-of-3	3	2	0	80522	54522
hqww2l	core.signing-serialization	3	1	0	81465	29465
hqyk36	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
hr2xhm	core.signing-serialization	3	1	0	81489	29489
htknxz	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
hvy2n3	core.signature-checking.multisig.m-of-3	3	2	0	80524	54524
hxlrqc	core.signature-checking.multisig.pubkey-validation	2	1	1	53698	27698
hy2f82	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
hyxduy	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
hz7n4f	core.signing-serialization	2	1	4	55073	29073
j06tqd	core.signature-checking.multisig.m-of-3	3	2	2	80517	54517
j0me35	core.signing-serialization	3	1	0	81489	29489
j24ala	core.signature-checking.multisig.pubkey-validation	2	1	1	53946	27946
j2c2kt	core.signing-serialization	3	1	1	81489	29489
j2hmfl	core.signature-checking.multisig.m-of-3	3	2	1	80516	54516
j34sn5	core.signing-serialization	2	1	1	55068	29068
j3rzuh	core.signing-serialization	2	1	4	55092	29092
j4eg8q	core.signature-checking.multisig.m-of-3	3	2	1	80523	54523
j4qja2	core.signature-checking.multisig.m-of-3	3	2	0	80516	54516
j50le2	core.signature-checking.multisig.m-of-3	3	2	2	80510	54510
j59zsl	core.signature-checking.multisig.pubkey-validation	2	1	1	53818	27818
j7hep2	core.signing-serialization	2	1	4	54972	28972
j8f3tp	core.signing-serialization	2	1	1	54996	28996
j8ketf	core.signature-checking.multisig.m-of-3	3	2	1	80517	54517
j8tl5k	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
j996m9	core.signature-checking.multisig.m-of-20	20	2	1	527104	59104
jag952	core.signature-checking.multisig.m-of-3	3	2	1	80510	54510
jcav5u	core.signature-checking.multisig.m-of-3	3	2	0	80510	54510
jcqyt3	core.signing-serialization	3	1	4	81489	29489
jd95hy	core.signing-serialization	2	1	1	55092	29092
jemls0	core.signing-serialization	3	1	0	81489	29489
jfxjqs	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
jgjev7	core.signature-checking.multisig.m-of-3	3	2	1	80541	54541
jgqqm6	core.signing-serialization	2	1	4	55097	29097
jhckjl	core.signing-serialization	3	1	4	81465	29465
jhggnx	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
jj6pgj	core.signature-checking.multisig.m-of-3	3	2	0	80517	54517
jjkhvs	core.signature-checking.multisig.signing-serialization	3	2	2	80510	54510
jjlyjy	core.signature-checking.multisig.m-of-3	3	2	1	80540	54540
jkxsfh	core.signing-serialization	2	1	4	54972	28972
jkz89m	core.signing-serialization	3	1	1	81465	29465
jl6lce	core.signing-serialization	2	1	4	55068	29068
jlu5pk	core.signing-serialization	2	1	1	54996	28996
jluudq	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
jmtk5q	core.signing-serialization	3	1	4	81369	29369
jpm55d	core.signing-serialization	2	1	1	55129	29129
jpqpdr	core.signing-serialization	3	1	4	81393	29393
jrfdwn	core.signing-serialization	2	1	1	55068	29068
jrsj0w	core.signature-checking.multisig.m-of-3	3	2	1	80534	54534
jrxk7c	core.signature-checking.multisig.m-of-3	3	2	2	80534	54534
jt79w0	core.signing-serialization	2	1	0	55068	29068
jugyvg	core.signing-serialization	2	1	4	54996	28996
