# LBCH-2026-001 — CAUSAL PARTITION of the sigCheck over-bills vs BCHN.
#
# WHAT THIS SUPERSEDES. conformance/evidence/LBCH-2026-001-threeway.tsv reported "LeanBCH over-bills
# BCHN on 2,384 of 4,467 vectors". That number is measured against a BROKEN COMPARAND and must not
# be cited. BCHN's VerifyScript (bchn-src/src/script/interpreter.cpp:2677) accumulates into a LOCAL
# 'metrics' (:2691) and copies it to the caller's 'metricsOut' at exactly two sites, :2745 and :2794,
# BOTH success returns (upstream's own comment at :2744 reads "must set metricsOut for all successful
# returns"). Every failure return leaves metricsOut untouched. bch-conformance's bchn-leg passes a
# default-constructed object (legs/bchn/bchn-leg.cpp:315) and reads it unconditionally (:323-325), so
# on EVERY reject it reports 0/0/0 — an initializer, not a measurement.
# MEASURED, not inferred: over all 5,803 vectors of the 11 signature families under --mode consensus,
# the leg's 3,453 rejects span 9 distinct native_error classes and have exactly ONE distinct metric
# signature: op_cost=0, hash_iters=0, sig_checks=0, op_cost_limit=null. Positive control: op_cost_limit
# is populated on 2,350/2,350 accepts and 0/3,453 rejects — the SetScriptLimits(:2695)-copied-only-on-
# success signature. 'ruwzjq' is self-refuting: rejected for "VM cost limit exceeded" at op_cost=0.
#
# HOW THE COMPARAND WAS REPAIRED. A new instrument, bchn-partial-probe, transcribes VerifyScript's
# body verbatim (same flags, same order, same EvalScript calls, same P2SH / CLEANSTACK /
# INPUT_SIGCHECKS gates) with ONE change: the metrics object is the caller's, so BCHN's real accrual
# up to its error point is observable. BCHN's sources are NOT modified; it links the same static libs.
# PROBE VALIDATION (before any use): over all 5,803 vectors it agrees with bchn-leg on 5,803/5,803
# verdicts, on the native_error string for all 3,453 rejects, and on all three metrics for all 2,350
# accepts. Source: conformance/evidence/bchn-partial-probe.cpp (committed alongside this file).
#
# DRIVER VALIDATION (before any use): costprobe + the libauth driver reproduce all 1,486 rows of
# LBCH-2026-001-fix-deltas.tsv on three independent columns (sigChecksAfter, libauthSigChecks,
# opCostAfter) with 0 mismatches, and the libauth driver reproduces the 0u4tu8 root-cause witness
# exactly (sigChecks 1, hashIters 22, instr 25, stackPushedBytes 1054).
# All four published triples were REPRODUCED before being partitioned: vs libauth before
# (2229,1912,326) after (2799,1342,326); vs BCHN-leg before (1549,2594,324) after (1759,2384,324).
#
# THE PARTITION of the 2,384 leg-reported over-bills (disjoint; sums to 2,384):
#   436  A-leg-artifact-agree   LeanBCH's count EQUALS BCHN's real accrual. Pure instrument artifact.
#   638  B1-sig-verify-fail     BCHN aborted at SIG_NULLFAIL: a non-empty signature failed verification.
#  1052  B2-sig-encoding-fail   BCHN aborted at SIG_HASHTYPE (666) / SIG_NONSCHNORR (276) /
#                               SIG_BADLENGTH (110): a non-empty signature failed encoding.
#    26  D1-pubkey-encoding-fail BCHN aborted at PUBKEYTYPE — the PUBKEY, not a signature, was malformed.
#   232  D2-checkbits-malformed BCHN aborted at INVALID_BIT_COUNT (228) / INVALID_BITFIELD_SIZE (4),
#                               before reaching any signature at all.
#   ----
#  2384  total.  1,948 of these are GENUINE over-bills against BCHN's real accrual; 436 are not.
#
# MECHANISM (source-verified, both paths). BCHN tallies a signature check only AFTER that check has
# passed. Schnorr multisig: encoding check interpreter.cpp:1598, CheckSig :1606, NULLFAIL return
# :1611, and only then TallySigChecks(1) at :1616. Legacy ECDSA multisig: the NULLFAIL return sits at
# :1686, BEFORE the bulk TallySigChecks(nKeysCount) at :1692 — so a failed ECDSA multisig with a
# non-null signature tallies NOTHING, not nKeysCount. Every one of the 7 error classes above is raised
# only inside case OP_CHECKSIG/VERIFY (:1399-1448), OP_CHECKDATASIG/VERIFY (:1449-1495) or
# OP_CHECKMULTISIG/VERIFY (:1496-1710) — verified by grepping every ScriptError:: raise site.
# LeanBCH bills the leading non-empty signature run; BCHN's accrual stops at, and EXCLUDES, the first
# failing signature. Hence LeanBCH >= BCHN on all 1,948, delta 1..20, measured, never below.
#
# SOUNDNESS, against the REPAIRED comparand: LeanBCH under-bills BCHN on 324 vectors; all 324 are
# vectors LeanBCH REJECTS and BCHN accepts; 0 occur on a LeanBCH accept. On the 1,547 vectors BOTH
# engines accept, LeanBCH equals BCHN on sigChecks 1,547/1,547 exactly.
#
# ENGINE / CORPUS VERSIONS
#   leanbch = ./.lake/build/bin/costprobe @ LeanBCH commit 9331052, LEANBCH_SECP=native
#             (oracle banner: "native(libsecp256k1/BCHN-vendored)")
#   bchnLeg = bch-conformance @ 729884e, legs/bchn/bchn-leg --mode consensus
#   bchnTrue= bchn-partial-probe (this repo, conformance/evidence/bchn-partial-probe.cpp),
#             linking bchn-src @ 864c53ee34924cca6c6b6d96607ff2cedcdccf02 (v29.0.1), kBlockFlags
#   libauth = @bitauth/libauth 3.1.0-next.8 (LeanBCH/optimizer/node_modules),
#             createVirtualMachineBch2026(); verify() for the verdict, evaluate().metrics for counts
#   corpus  = bchd-src/txscript/data/vmb_tests @ 1c26e26, bch_2026_{standard,nonstandard,invalid},
#             the 11 signature families: 5,803 vectors, 4,467 metric-comparable.
#   Measured 2026-07-21.
#
# cause: agree | A-leg-artifact-agree | B1-* | B2-* | D1-* | D2-* | X-over-on-bchn-accept | U-under-bill
# bchnLegSig is what bch-conformance's leg reports (0 on every reject — DO NOT compare against it).
# bchnTrueSig is BCHN's real accrual at its stopping point. Compare against THAT.
vectorId	family	variant	expected	leanVerdict	bchnOutcome	sigBefore	sigAfter	sigLibauth	bchnLegSig	bchnTrueSig	delta	cause	bchnStopReason	bchnPhase	leanHash	bchnTrueHash	leanOpCost	bchnTrueOpCost
78e5rq	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	0	2	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	13	3	54523	1883
78hffc	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26772	26772
78jpjj	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	8	3	28604	2284
78r75r	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108380	108380
78zaj0	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	10	18	79784	80297
797q6t	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54510	54639
797y84	core.signing-serialization	invalid	0	0	reject	7	7	7	0	7	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	24	54	188951	190872
7a2ly5	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	0	2	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	13	3	54541	1901
7a6zct	core.signing-serialization	invalid	0	0	reject	3	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	11	5	29369	2985
7aeq27	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54541	1901
7agpp2	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54541	1901
7akxn9	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	20	3	109801	2260
7allgv	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108380	108380
7apqt7	core.signing-serialization	standard	1	1	accept	6	6	6	6	6	0	agree	-	ok	21	23	162458	162588
7ar3jx	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108380	108380
7c0acx	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	4	4	27310	27310
7ck3x2	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	0	3	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	13	3	80540	1900
7cr322	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27425	27425
7dsdpk	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_scriptpubkey	17	0	109100	1562
7dx3zv	core.signing-serialization	standard	1	0	accept	3	1	4	4	4	-3	U-under-bill	-	ok	11	27	29369	111194
7e6f86	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	9	28580	2644
7ed55p	core.signing-serialization	invalid	0	0	reject	3	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	12	5	29489	3041
7ed7yx	core.signing-serialization	invalid	0	0	reject	2	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	10	4	29068	2684
7em46x	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26794	26794
7f6xd9	core.signing-serialization	standard	1	0	accept	2	1	4	4	4	-3	U-under-bill	-	ok	10	26	29092	110784
7f9e75	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	0	3	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	13	3	80515	1875
7f9uz9	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27514	27514
7fm206	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	11	11	28538	28538
7fua2f	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	0	3	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	13	15	80540	2668
7g54n4	core.signing-serialization	invalid	0	0	reject	2	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	9	4	28996	2676
7gmzxq	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27410	27410
7gnse0	core.signing-serialization	standard	1	0	accept	3	1	4	4	4	-3	U-under-bill	-	ok	12	30	29465	111418
7grl95	core.signing-serialization	standard	1	0	accept	1	1	4	4	4	-3	U-under-bill	-	ok	8	22	28591	109922
7gu4yw	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_scriptpubkey	19	0	108056	987
7h2spd	core.signing-serialization	invalid	0	0	reject	2	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	10	4	29068	2684
7h997p	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	20	0	agree	-	ok	40	312	527115	544524
7hmqme	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	25	41	215097	216123
7ht778	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	16	16	107760	107760
7hy96r	core.signing-serialization	invalid	0	1	reject	8	8	0	0	0	8	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	28	5	215321	3030
7j062x	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	0	1	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	21	10	30868	4164
7jeumv	core.signing-serialization	standard	1	0	accept	2	1	4	4	4	-3	U-under-bill	-	ok	9	23	28996	110560
7js44g	core.signing-serialization	invalid	0	0	reject	3	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	11	5	29393	3009
7jxgd7	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	3	27922	1602
7kct5a	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	3	28495	2239
7kkcae	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	10	10	28339	28339
7kv6m9	core.signing-serialization	standard	1	1	accept	6	6	6	6	6	0	agree	-	ok	21	23	162434	162564
7l45x9	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	1	0	0	2	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	13	3	54546	1906
7l9gea	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	21	21	108695	108695
7lwvrr	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	2	0	0	0	2	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	8	3	53923	1603
7lydtd	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	20	3	109820	2282
7m4h7g	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	25	41	215116	216142
7m508z	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	20	22	109796	109926
7mdnnp	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	8	3	28591	2271
7my5fz	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	18	2	108466	1592
7n07zh	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	7	27877	27876
7n2s55	core.signing-serialization	standard	1	0	accept	1	1	4	4	4	-3	U-under-bill	-	ok	8	22	28572	109903
7n4dlt	core.signing-serialization	invalid	0	0	reject	3	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	12	5	29489	3041
7n5cwh	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	8	3	28567	2247
7n6n32	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	8	3	28591	2271
7n7gsa	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	8	27978	27977
7ngg29	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	16	16	107760	107760
7nnhx7	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	16	16	107760	107760
7npdc7	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54534	54663
7nrpf8	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	13	21	80523	81036
7nyuu3	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	0	2	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	40	12	59118	5326
7p34lv	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	3	27794	1538
7p84q7	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	7	27883	27882
7prw6k	core.signing-serialization	invalid	0	0	reject	5	5	0	0	0	5	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	23	4	136493	2695
7psftm	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	7	27869	27868
7pt03f	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	18	2	108466	1592
7pv3dk	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	0	2	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	40	12	59080	5288
7q8l09	core.signing-serialization	invalid	0	0	reject	7	7	7	0	7	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	24	54	188956	190877
7qd5n5	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	0	2	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	40	12	59094	5302
7qls04	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	3	28591	2271
7qpwyk	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54534	54663
7r26pa	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	13	21	80545	81058
7r5fe6	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	8	3	28604	2284
7r5s8j	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	7	27881	27880
7rf6e9	core.signing-serialization	invalid	0	0	reject	7	7	0	0	0	7	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	27	5	189151	3028
7rsrg6	core.signature-checking.multisig.pubkey-validation	standard	1	0	accept	2	1	1	1	1	0	agree	-	ok	7	8	27794	27859
7rwhxm	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	13	21	80545	81058
7shnej	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108415	108415
7smnd9	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	18	2	108442	1568
7sw0ag	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	10	18	79784	80297
7sxwsg	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	7	2	27891	1570
7t9jm4	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	20	36	214135	215161
7tarl8	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	28	46	215326	216480
7tk4pv	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54510	54639
7tl93v	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	13	21	80545	81058
7tshzh	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	1	1	0	0	1	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	8	3	28055	1735
7tsrev	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	7	27869	27868
7u4sj7	core.signing-serialization	invalid	0	1	reject	4	4	0	0	0	4	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	18	2	108442	1568
7udr9n	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27391	27391
7ufe9s	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	7	2	27901	1580
7v52fs	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	20	0	0	0	20	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	40	12	527101	5309
7vggva	core.signing-serialization	standard	1	1	accept	8	8	8	8	8	0	agree	-	ok	28	46	215340	216494
7vmgft	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	0	0	0	1	D1-pubkey-encoding-fail	Public key is neither compressed or uncompressed	eval_redeem	6	2	27674	1418
7vqnfu	core.signing-serialization	standard	1	1	accept	6	6	6	6	6	0	agree	-	ok	21	23	162439	162569
7wjl5d	core.signing-serialization	standard	1	1	accept	6	6	6	6	6	0	agree	-	ok	20	22	161833	161963
7wjqvy	core.signature-checking.multisig.m-of-20	standard	1	1	accept	20	20	20	20	20	0	agree	-	ok	124	312	533518	545551
7wprl8	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	13	21	80546	81059
7wuzlm	core.signing-serialization	standard	1	0	accept	1	1	4	4	4	-3	U-under-bill	-	ok	7	19	28471	109674
7x7m8m	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27507	27507
7x9lnn	core.signing-serialization	standard	1	1	accept	6	6	6	6	6	0	agree	-	ok	17	19	161609	161739
7xalg3	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	0	3	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	13	3	80516	1876
7xnhrl	core.signing-serialization	invalid	0	0	reject	2	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	10	4	29068	2684
7xny36	core.signature-checking.multisig.m-of-15	invalid	0	0	reject	15	1	1	0	0	1	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	21	10	30892	4188
7xv30g	core.signing-serialization	invalid	0	0	reject	2	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	10	4	29068	2684
7y3qtq	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54510	54639
7y5lx3	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27405	27405
7yaqth	core.signature-checking.multisig.signing-serialization	standard	1	0	accept	3	2	2	2	2	0	agree	-	ok	13	15	54534	54663
7yckuz	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	1	0	0	1	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	8	3	27955	1635
7yx6ak	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27506	27506
7z626w	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	8	28484	2548
7z9vpj	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27387	27387
7zen4w	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108442	108442
7zetqw	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27450	27450
806xvw	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	3	0	0	0	3	B2-sig-encoding-fail	Signature cannot be 65 bytes in CHECKMULTISIG	eval_redeem	13	3	80509	1869
807ujk	core.signing-serialization	invalid	0	0	reject	3	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	11	5	29369	2985
80k4un	core.signing-serialization	invalid	0	0	reject	3	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	11	5	29393	3009
80pk0t	core.signing-serialization	invalid	0	0	reject	1	1	1	0	1	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	8	27990	27989
80xuy9	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26917	26917
82hmp4	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	16	16	107760	107760
82sm2m	core.signing-serialization	standard	1	0	accept	3	1	4	4	4	-3	U-under-bill	-	ok	12	30	29502	111455
832p22	core.signing-serialization	invalid	0	0	reject	2	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	9	4	28996	2676
83dmdh	core.signature-checking.multisig.m-of-20	standard	1	0	accept	20	2	2	2	2	0	agree	-	ok	40	42	59104	59233
83gjxa	core.signing-serialization	invalid	0	0	reject	5	5	5	0	5	0	A-leg-artifact-agree	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	23	39	136498	137523
83vapw	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54516	1876
842vhy	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54534	1894
843jz9	core.signature-checking.multisig.m-of-3	invalid	0	0	reject	3	2	0	0	0	2	D2-checkbits-malformed	Invalid number of bit set in OP_CHECKMULTISIG	eval_redeem	13	3	54534	1894
849zzy	core.signature-checking.multisig.pubkey-validation	invalid	0	0	reject	2	1	0	0	0	1	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	6	2	27680	1424
84w0gu	core.signing-serialization	invalid	0	1	reject	8	8	0	0	0	8	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	28	5	215321	3030
84yq4p	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27378	27378
852wm2	core.signature-checking.multisig.m-of-3	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	5	6	79292	79357
855ae5	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108410	108410
85ktm8	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	0	2	B2-sig-encoding-fail	Only Schnorr signatures allowed in this operation	eval_redeem	40	12	59094	5302
86d2rh	core.signing-serialization	invalid	0	1	reject	8	8	0	0	0	8	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	28	5	215340	3052
873xz5	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27388	27388
87au58	core.signature-checking.multisig.m-of-20	invalid	0	0	reject	20	2	1	0	0	2	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	40	12	59104	5312
87dklg	core.signature-checking.multisig.signing-serialization	standard	1	1	accept	3	3	3	3	3	0	agree	-	ok	13	21	80523	81036
87mssr	core.signing-serialization	invalid	0	0	reject	1	1	0	0	0	1	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	7	2	27889	1568
87umxw	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26907	26907
886v0c	core.signing-serialization	invalid	0	1	reject	6	6	0	0	0	6	B2-sig-encoding-fail	Signature hash type missing or not understood	eval_redeem	24	4	162700	2734
88f5v3	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	7	3	28495	2239
88gpnw	core.signing-serialization	invalid	0	0	reject	1	1	1	0	0	1	B1-sig-verify-fail	Signature must be zero for failed CHECK(MULTI)SIG operation	eval_redeem	8	3	28567	2247
88y9r5	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	1	1	26873	26873
88zqxa	core.signing-serialization	standard	1	1	accept	4	4	4	4	4	0	agree	-	ok	18	18	108412	108412
890nru	core.data-signatures	standard	1	1	accept	1	1	1	1	1	0	agree	-	ok	3	3	27527	27527
